,Provincia,Partido,Localidad,Link_Indec,Velocidad,Conexiones
0,Buenos Aires,Adolfo Alsina,Maza,6007070,Otros,10.0
1,Buenos Aires,Almirante Brown,Burzaco,6028010,Otros,53.0
2,Buenos Aires,Almirante Brown,Claypole,6028010,Otros,1.0
3,Buenos Aires,Almirante Brown,Glew,6028010,Otros,1.0
4,Buenos Aires,Almirante Brown,Longchamps,6028010,Otros,1.0
5,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,Otros,1.0
6,Buenos Aires,Almirante Brown,Rafael Calzada,6028010,Otros,1.0
7,Buenos Aires,Almirante Brown,San Francisco Solano,6028010,Otros,1.0
8,Buenos Aires,Arrecifes,Arrecifes,6077010,Otros,159.0
9,Buenos Aires,Avellaneda,Avellaneda,6035010,Otros,34.0
10,Buenos Aires,Avellaneda,Dock Sud,6035010,Otros,3.0
11,Buenos Aires,Avellaneda,Pineyro,6035010,Otros,1.0
12,Buenos Aires,Avellaneda,Sarandí,6035010,Otros,3.0
13,Buenos Aires,Avellaneda,Villa Domínico,6035010,Otros,2.0
14,Buenos Aires,Avellaneda,Wilde,6035010,Otros,3.0
15,Buenos Aires,Azul,Azul,6049020,Otros,14.0
16,Buenos Aires,Bahía Blanca,Bahía Blanca,6056010,Otros,33.0
17,Buenos Aires,Bahía Blanca,Cabildo,6056020,Otros,6.0
18,Buenos Aires,Bahía Blanca,Ingeniero White,6056020,Otros,3.0
19,Buenos Aires,Balcarce,Balcarce,6063010,Otros,9.0
20,Buenos Aires,Balcarce,Los Pinos,6063020,Otros,5.0
21,Buenos Aires,Balcarce,San Agustín,6063050,Otros,24.0
22,Buenos Aires,Baradero,Baradero,6070010,Otros,1.0
23,Buenos Aires,Benito Juárez,Barker,6084010,Otros,1.0
24,Buenos Aires,Benito Juárez,Benito Juárez (Est. Juárez),6084020,Otros,4.0
25,Buenos Aires,Berazategui,Berazategui,6091010,Otros,16.0
26,Buenos Aires,Berazategui,Guillermo E. Hudson,6091010,Otros,2.0
27,Buenos Aires,Berazategui,Plátanos,6091010,Otros,3.0
28,Buenos Aires,Berisso,Barrio El Carmen (Este),6098010,Otros,170.0
29,Buenos Aires,Berisso,Berisso,6098010,Otros,4.0
30,Buenos Aires,Berisso,Villa Arguello,6098010,Otros,172.0
31,Buenos Aires,Berisso,Villa Nueva,6098010,Otros,172.0
32,Buenos Aires,Berisso,Villa Progreso,6098010,Otros,167.0
33,Buenos Aires,Bolívar,Pirovano,6105050,Otros,50.0
34,Buenos Aires,Brandsen,Coronel Brandsen,6119050,Otros,3.0
35,Buenos Aires,Campana,Campana,6126030,Otros,237.0
36,Buenos Aires,Cañuelas,Alejandro Petión,6134010,Otros,1.0
37,Buenos Aires,Cañuelas,Cañuelas,6134030,Otros,1.0
38,Buenos Aires,Carlos Tejedor,Carlos Tejedor,6154010,Otros,1.0
39,Buenos Aires,Chacabuco,Chacabuco,6210020,Otros,83.0
40,Buenos Aires,Chivilcoy,Chivilcoy,6224010,Otros,2363.0
41,Buenos Aires,Colón,Colón,6175010,Otros,2414.0
42,Buenos Aires,Coronel Pringles,Coronel Pringles (Est. Pringles),6196010,Otros,7.0
43,Buenos Aires,Coronel Suárez,Coronel Suárez,6203020,Otros,8.0
44,Buenos Aires,Coronel Suárez,San José,6203070,Otros,9.0
45,Buenos Aires,Coronel Suárez,Santa María,6203080,Otros,5.0
46,Buenos Aires,Coronel Suárez,Santa Trinidad,6203090,Otros,13.0
47,Buenos Aires,Dolores,Dolores,6238010,Otros,4.0
48,Buenos Aires,Ensenada,Ensenada,6245010,Otros,13.0
49,Buenos Aires,Ensenada,Villa Catela,6245010,Otros,4.0
50,Buenos Aires,Escobar,Belen De Escobar,6252010,Otros,48.0
51,Buenos Aires,Escobar,Garín,6252010,Otros,1917.0
52,Buenos Aires,Escobar,Ingeniero Maschwitz,6252010,Otros,24.0
53,Buenos Aires,Escobar,Maquinista F. Savio (Este),6252010,Otros,5.0
54,Buenos Aires,Escobar,Matheu,6252010,Otros,5.0
55,Buenos Aires,Esteban Echeverría,9 De Abril,6260010,Otros,3.0
56,Buenos Aires,Esteban Echeverría,Canning,6260010,Otros,62.0
57,Buenos Aires,Esteban Echeverría,El Jagüel,6260010,Otros,2.0
58,Buenos Aires,Esteban Echeverría,Luis Guillón,6260010,Otros,3.0
59,Buenos Aires,Esteban Echeverría,Monte Grande,6260010,Otros,5.0
60,Buenos Aires,Exaltación De La Cruz,Capilla Del Señor (Est. Capilla),6266020,Otros,1.0
61,Buenos Aires,Exaltación De La Cruz,Parada Robles - Pavón,6266060,Otros,5.0
62,Buenos Aires,Ezeiza,Aeropuerto Internacional Ezeiza,6270010,Otros,1.0
63,Buenos Aires,Ezeiza,Canning,6270010,Otros,80.0
64,Buenos Aires,Ezeiza,Carlos Spegazzini,6270010,Otros,12.0
65,Buenos Aires,Ezeiza,José Maria Ezeiza,6270010,Otros,20.0
66,Buenos Aires,Ezeiza,Tristán Suarez,6270010,Otros,3.0
67,Buenos Aires,Florencio Varela,Estanislao Severo Zeballos,6274010,Otros,1.0
68,Buenos Aires,Florencio Varela,Florencio Varela,6274010,Otros,6.0
69,Buenos Aires,Florentino Ameghino,Florentino Ameghino,6277020,Otros,1.0
70,Buenos Aires,General Alvarado,Mechongué,6280030,Otros,256.0
71,Buenos Aires,General Alvarado,Miramar,6280040,Otros,1.0
72,Buenos Aires,General Arenales,Arribeños,6294010,Otros,1.0
73,Buenos Aires,General Belgrano,General Belgrano,6301010,Otros,1917.0
74,Buenos Aires,General Juan Madariaga,General Juan Madariaga,6315010,Otros,1.0
75,Buenos Aires,General Las Heras,General Las Heras (Est. Las Heras),6329020,Otros,2222.0
76,Buenos Aires,General Las Heras,Villars,6329060,Otros,1.0
77,Buenos Aires,General Lavalle,General Lavalle,6336020,Otros,68.0
78,Buenos Aires,General Paz,Ranchos,6343030,Otros,11.0
79,Buenos Aires,General Pinto,Colonia San Ricardo (Est. Iriarte),6351010,Otros,1.0
80,Buenos Aires,General Pueyrredón,Chapadmalal,6357080,Otros,1.0
81,Buenos Aires,General Pueyrredón,Mar Del Plata,6357110,Otros,144.0
82,Buenos Aires,General Rodríguez,General Rodríguez,6364030,Otros,1.0
83,Buenos Aires,General San Martín,Ciudad Del Libertador General San Martin,6371010,Otros,5.0
84,Buenos Aires,General San Martín,Villa Ballester,6371010,Otros,2.0
85,Buenos Aires,General San Martín,Villa José León Suarez,6371010,Otros,8.0
86,Buenos Aires,General San Martín,Villa Lynch,6371010,Otros,1.0
87,Buenos Aires,General San Martín,Villa Maipu,6371010,Otros,2.0
