,Año,Trimestre,Provincia,Tecnologia,Accesos,Fecha
0,2024,1,Buenos Aires,Adsl,203297.0,2024-01-01
1,2024,1,Capital Federal,Adsl,70108.0,2024-01-01
2,2024,1,Catamarca,Adsl,5901.0,2024-01-01
3,2024,1,Chaco,Adsl,11343.0,2024-01-01
4,2024,1,Chubut,Adsl,26306.0,2024-01-01
5,2024,1,Córdoba,Adsl,102812.0,2024-01-01
6,2024,1,Corrientes,Adsl,18390.0,2024-01-01
7,2024,1,Entre Ríos,Adsl,36574.0,2024-01-01
8,2024,1,Formosa,Adsl,9147.0,2024-01-01
9,2024,1,Jujuy,Adsl,10554.0,2024-01-01
10,2024,1,La Pampa,Adsl,6844.0,2024-01-01
11,2024,1,La Rioja,Adsl,2827.0,2024-01-01
12,2024,1,Mendoza,Adsl,17674.0,2024-01-01
13,2024,1,Misiones,Adsl,23217.0,2024-01-01
14,2024,1,Neuquén,Adsl,24076.0,2024-01-01
15,2024,1,Río Negro,Adsl,20841.0,2024-01-01
16,2024,1,Salta,Adsl,23858.0,2024-01-01
17,2024,1,San Juan,Adsl,12669.0,2024-01-01
18,2024,1,San Luis,Adsl,4038.0,2024-01-01
19,2024,1,Santa Cruz,Adsl,7768.0,2024-01-01
20,2024,1,Santa Fe,Adsl,86548.0,2024-01-01
21,2024,1,Santiago Del Estero,Adsl,6644.0,2024-01-01
22,2024,1,Tierra Del Fuego,Adsl,9357.0,2024-01-01
23,2024,1,Tucumán,Adsl,33682.0,2024-01-01
24,2023,4,Buenos Aires,Adsl,223391.0,2023-10-01
25,2023,4,Capital Federal,Adsl,58700.0,2023-10-01
26,2023,4,Catamarca,Adsl,6669.0,2023-10-01
27,2023,4,Chaco,Adsl,14000.0,2023-10-01
28,2023,4,Chubut,Adsl,26306.0,2023-10-01
29,2023,4,Córdoba,Adsl,115662.0,2023-10-01
30,2023,4,Corrientes,Adsl,21769.0,2023-10-01
31,2023,4,Entre Ríos,Adsl,41794.0,2023-10-01
32,2023,4,Formosa,Adsl,10252.0,2023-10-01
33,2023,4,Jujuy,Adsl,11669.0,2023-10-01
34,2023,4,La Pampa,Adsl,6844.0,2023-10-01
35,2023,4,La Rioja,Adsl,3296.0,2023-10-01
36,2023,4,Mendoza,Adsl,17676.0,2023-10-01
37,2023,4,Misiones,Adsl,25840.0,2023-10-01
38,2023,4,Neuquén,Adsl,24122.0,2023-10-01
39,2023,4,Río Negro,Adsl,21192.0,2023-10-01
40,2023,4,Salta,Adsl,26765.0,2023-10-01
41,2023,4,San Juan,Adsl,12669.0,2023-10-01
42,2023,4,San Luis,Adsl,4037.0,2023-10-01
43,2023,4,Santa Cruz,Adsl,7768.0,2023-10-01
44,2023,4,Santa Fe,Adsl,97004.0,2023-10-01
45,2023,4,Santiago Del Estero,Adsl,8290.0,2023-10-01
46,2023,4,Tierra Del Fuego,Adsl,9357.0,2023-10-01
47,2023,4,Tucumán,Adsl,41318.0,2023-10-01
48,2023,3,Buenos Aires,Adsl,237705.0,2023-07-01
49,2023,3,Capital Federal,Adsl,60765.0,2023-07-01
50,2023,3,Catamarca,Adsl,7164.0,2023-07-01
51,2023,3,Chaco,Adsl,16420.0,2023-07-01
52,2023,3,Chubut,Adsl,26352.0,2023-07-01
53,2023,3,Córdoba,Adsl,125050.0,2023-07-01
54,2023,3,Corrientes,Adsl,24253.0,2023-07-01
55,2023,3,Entre Ríos,Adsl,45384.0,2023-07-01
56,2023,3,Formosa,Adsl,11230.0,2023-07-01
57,2023,3,Jujuy,Adsl,12627.0,2023-07-01
58,2023,3,La Pampa,Adsl,6844.0,2023-07-01
59,2023,3,La Rioja,Adsl,3726.0,2023-07-01
60,2023,3,Mendoza,Adsl,17677.0,2023-07-01
61,2023,3,Misiones,Adsl,27934.0,2023-07-01
62,2023,3,Neuquén,Adsl,24527.0,2023-07-01
63,2023,3,Río Negro,Adsl,22422.0,2023-07-01
64,2023,3,Salta,Adsl,29113.0,2023-07-01
65,2023,3,San Juan,Adsl,12669.0,2023-07-01
66,2023,3,San Luis,Adsl,4037.0,2023-07-01
67,2023,3,Santa Cruz,Adsl,8376.0,2023-07-01
68,2023,3,Santa Fe,Adsl,108503.0,2023-07-01
69,2023,3,Santiago Del Estero,Adsl,9412.0,2023-07-01
70,2023,3,Tierra Del Fuego,Adsl,9357.0,2023-07-01
71,2023,3,Tucumán,Adsl,46348.0,2023-07-01
72,2023,2,Buenos Aires,Adsl,265537.0,2023-04-01
73,2023,2,Capital Federal,Adsl,68348.0,2023-04-01
74,2023,2,Catamarca,Adsl,7637.0,2023-04-01
75,2023,2,Chaco,Adsl,19115.0,2023-04-01
76,2023,2,Chubut,Adsl,33702.0,2023-04-01
77,2023,2,Córdoba,Adsl,129303.0,2023-04-01
78,2023,2,Corrientes,Adsl,26821.0,2023-04-01
79,2023,2,Entre Ríos,Adsl,46503.0,2023-04-01
80,2023,2,Formosa,Adsl,11934.0,2023-04-01
81,2023,2,Jujuy,Adsl,13749.0,2023-04-01
82,2023,2,La Pampa,Adsl,7254.0,2023-04-01
83,2023,2,La Rioja,Adsl,4152.0,2023-04-01
84,2023,2,Mendoza,Adsl,25299.0,2023-04-01
85,2023,2,Misiones,Adsl,28897.0,2023-04-01
86,2023,2,Neuquén,Adsl,26379.0,2023-04-01
87,2023,2,Río Negro,Adsl,26390.0,2023-04-01
88,2023,2,Salta,Adsl,30666.0,2023-04-01
89,2023,2,San Juan,Adsl,21483.0,2023-04-01
90,2023,2,San Luis,Adsl,4937.0,2023-04-01
91,2023,2,Santa Cruz,Adsl,9019.0,2023-04-01
92,2023,2,Santa Fe,Adsl,126344.0,2023-04-01
93,2023,2,Santiago Del Estero,Adsl,10629.0,2023-04-01
94,2023,2,Tierra Del Fuego,Adsl,12392.0,2023-04-01
95,2023,2,Tucumán,Adsl,50019.0,2023-04-01
96,2023,1,Buenos Aires,Adsl,304583.0,2023-01-01
97,2023,1,Capital Federal,Adsl,132149.0,2023-01-01
98,2023,1,Catamarca,Adsl,6980.0,2023-01-01
99,2023,1,Chaco,Adsl,21243.0,2023-01-01
100,2023,1,Chubut,Adsl,45448.0,2023-01-01
101,2023,1,Córdoba,Adsl,136976.0,2023-01-01
102,2023,1,Corrientes,Adsl,29577.0,2023-01-01
103,2023,1,Entre Ríos,Adsl,51084.0,2023-01-01
104,2023,1,Formosa,Adsl,12502.0,2023-01-01
105,2023,1,Jujuy,Adsl,15306.0,2023-01-01
106,2023,1,La Pampa,Adsl,7049.0,2023-01-01
107,2023,1,La Rioja,Adsl,4652.0,2023-01-01
108,2023,1,Mendoza,Adsl,37646.0,2023-01-01
109,2023,1,Misiones,Adsl,30455.0,2023-01-01
110,2023,1,Neuquén,Adsl,28030.0,2023-01-01
111,2023,1,Río Negro,Adsl,33604.0,2023-01-01
112,2023,1,Salta,Adsl,33427.0,2023-01-01
113,2023,1,San Juan,Adsl,38568.0,2023-01-01
114,2023,1,San Luis,Adsl,6283.0,2023-01-01
115,2023,1,Santa Cruz,Adsl,9702.0,2023-01-01
116,2023,1,Santa Fe,Adsl,138935.0,2023-01-01
117,2023,1,Santiago Del Estero,Adsl,11642.0,2023-01-01
118,2023,1,Tierra Del Fuego,Adsl,12754.0,2023-01-01
119,2023,1,Tucumán,Adsl,55822.0,2023-01-01
120,2022,4,Buenos Aires,Adsl,325908.0,2022-10-01
121,2022,4,Capital Federal,Adsl,138753.0,2022-10-01
122,2022,4,Catamarca,Adsl,8952.0,2022-10-01
123,2022,4,Chaco,Adsl,24582.0,2022-10-01
124,2022,4,Chubut,Adsl,45450.0,2022-10-01
125,2022,4,Córdoba,Adsl,152265.0,2022-10-01
126,2022,4,Corrientes,Adsl,34038.0,2022-10-01
127,2022,4,Entre Ríos,Adsl,55507.0,2022-10-01
128,2022,4,Formosa,Adsl,13735.0,2022-10-01
129,2022,4,Jujuy,Adsl,17880.0,2022-10-01
130,2022,4,La Pampa,Adsl,7785.0,2022-10-01
131,2022,4,La Rioja,Adsl,6120.0,2022-10-01
132,2022,4,Mendoza,Adsl,37655.0,2022-10-01
133,2022,4,Misiones,Adsl,33204.0,2022-10-01
134,2022,4,Neuquén,Adsl,28609.0,2022-10-01
135,2022,4,Río Negro,Adsl,34043.0,2022-10-01
136,2022,4,Salta,Adsl,36939.0,2022-10-01
137,2022,4,San Juan,Adsl,38570.0,2022-10-01
138,2022,4,San Luis,Adsl,6283.0,2022-10-01
139,2022,4,Santa Cruz,Adsl,9702.0,2022-10-01
140,2022,4,Santa Fe,Adsl,163621.0,2022-10-01
141,2022,4,Santiago Del Estero,Adsl,13577.0,2022-10-01
142,2022,4,Tierra Del Fuego,Adsl,12754.0,2022-10-01
143,2022,4,Tucumán,Adsl,69441.0,2022-10-01
144,2022,3,Buenos Aires,Adsl,339648.0,2022-07-01
145,2022,3,Capital Federal,Adsl,140791.0,2022-07-01
146,2022,3,Catamarca,Adsl,10010.0,2022-07-01
147,2022,3,Chaco,Adsl,27164.0,2022-07-01
148,2022,3,Chubut,Adsl,45377.0,2022-07-01
149,2022,3,Córdoba,Adsl,163770.0,2022-07-01
150,2022,3,Corrientes,Adsl,36508.0,2022-07-01
151,2022,3,Entre Ríos,Adsl,60345.0,2022-07-01
152,2022,3,Formosa,Adsl,14470.0,2022-07-01
153,2022,3,Jujuy,Adsl,19257.0,2022-07-01
154,2022,3,La Pampa,Adsl,7796.0,2022-07-01
155,2022,3,La Rioja,Adsl,6842.0,2022-07-01
156,2022,3,Mendoza,Adsl,37659.0,2022-07-01
157,2022,3,Misiones,Adsl,35513.0,2022-07-01
158,2022,3,Neuquén,Adsl,29352.0,2022-07-01
159,2022,3,Río Negro,Adsl,35552.0,2022-07-01
160,2022,3,Salta,Adsl,40006.0,2022-07-01
161,2022,3,San Juan,Adsl,38570.0,2022-07-01
162,2022,3,San Luis,Adsl,6860.0,2022-07-01
163,2022,3,Santa Cruz,Adsl,10170.0,2022-07-01
164,2022,3,Santa Fe,Adsl,183740.0,2022-07-01
165,2022,3,Santiago Del Estero,Adsl,15385.0,2022-07-01
166,2022,3,Tierra Del Fuego,Adsl,12754.0,2022-07-01
167,2022,3,Tucumán,Adsl,77738.0,2022-07-01
168,2022,2, Buenos Aires ,Adsl,350652.0,2022-04-01
169,2022,2, Capital Federal ,Adsl,145491.0,2022-04-01
170,2022,2, Catamarca ,Adsl,11928.0,2022-04-01
171,2022,2, Chaco ,Adsl,29552.0,2022-04-01
172,2022,2, Chubut ,Adsl,45377.0,2022-04-01
173,2022,2, Córdoba ,Adsl,179181.0,2022-04-01
174,2022,2, Corrientes ,Adsl,38468.0,2022-04-01
175,2022,2, Entre Ríos ,Adsl,63794.0,2022-04-01
176,2022,2, Formosa ,Adsl,15397.0,2022-04-01
177,2022,2, Jujuy ,Adsl,20303.0,2022-04-01
178,2022,2, La Pampa ,Adsl,7796.0,2022-04-01
179,2022,2, La Rioja ,Adsl,7759.0,2022-04-01
180,2022,2, Mendoza ,Adsl,37663.0,2022-04-01
181,2022,2, Misiones ,Adsl,37208.0,2022-04-01
182,2022,2, Neuquén ,Adsl,29749.0,2022-04-01
183,2022,2, Río Negro ,Adsl,36050.0,2022-04-01
184,2022,2, Salta ,Adsl,42665.0,2022-04-01
185,2022,2, San Juan ,Adsl,38570.0,2022-04-01
186,2022,2, San Luis ,Adsl,6860.0,2022-04-01
187,2022,2, Santa Cruz ,Adsl,10170.0,2022-04-01
188,2022,2, Santa Fe ,Adsl,198492.0,2022-04-01
189,2022,2, Santiago Del Estero ,Adsl,16561.0,2022-04-01
190,2022,2, Tierra Del Fuego ,Adsl,12754.0,2022-04-01
191,2022,2, Tucumán ,Adsl,85893.0,2022-04-01
192,2022,1,Buenos Aires,Adsl,392045.0,2022-01-01
193,2022,1,Capital Federal,Adsl,102290.0,2022-01-01
194,2022,1,Catamarca,Adsl,14181.0,2022-01-01
195,2022,1,Chaco,Adsl,32391.0,2022-01-01
196,2022,1,Chubut,Adsl,44133.0,2022-01-01
197,2022,1,Córdoba,Adsl,195610.0,2022-01-01
198,2022,1,Corrientes,Adsl,40462.0,2022-01-01
199,2022,1,Entre Ríos,Adsl,67159.0,2022-01-01
200,2022,1,Formosa,Adsl,16397.0,2022-01-01
201,2022,1,Jujuy,Adsl,21307.0,2022-01-01
202,2022,1,La Pampa,Adsl,8003.0,2022-01-01
203,2022,1,La Rioja,Adsl,9103.0,2022-01-01
204,2022,1,Mendoza,Adsl,49464.0,2022-01-01
205,2022,1,Misiones,Adsl,39147.0,2022-01-01
206,2022,1,Neuquén,Adsl,28443.0,2022-01-01
207,2022,1,Río Negro,Adsl,38662.0,2022-01-01
208,2022,1,Salta,Adsl,44714.0,2022-01-01
209,2022,1,San Juan,Adsl,34038.0,2022-01-01
210,2022,1,San Luis,Adsl,7987.0,2022-01-01
211,2022,1,Santa Cruz,Adsl,10537.0,2022-01-01
212,2022,1,Santa Fe,Adsl,213486.0,2022-01-01
213,2022,1,Santiago Del Estero,Adsl,18118.0,2022-01-01
214,2022,1,Tierra Del Fuego,Adsl,13031.0,2022-01-01
215,2022,1,Tucumán,Adsl,92532.0,2022-01-01
216,2021,4,Buenos Aires,Adsl,426325.0,2021-10-01
217,2021,4,Capital Federal,Adsl,111360.0,2021-10-01
218,2021,4,Catamarca,Adsl,16385.0,2021-10-01
219,2021,4,Chaco,Adsl,35548.0,2021-10-01
220,2021,4,Chubut,Adsl,46361.0,2021-10-01
221,2021,4,Córdoba,Adsl,212011.0,2021-10-01
222,2021,4,Corrientes,Adsl,42523.0,2021-10-01
223,2021,4,Entre Ríos,Adsl,70459.0,2021-10-01
224,2021,4,Formosa,Adsl,17211.0,2021-10-01
225,2021,4,Jujuy,Adsl,22330.0,2021-10-01
226,2021,4,La Pampa,Adsl,8175.0,2021-10-01
227,2021,4,La Rioja,Adsl,10387.0,2021-10-01
228,2021,4,Mendoza,Adsl,59842.0,2021-10-01
229,2021,4,Misiones,Adsl,41778.0,2021-10-01
230,2021,4,Neuquén,Adsl,29175.0,2021-10-01
231,2021,4,Río Negro,Adsl,42037.0,2021-10-01
232,2021,4,Salta,Adsl,46972.0,2021-10-01
233,2021,4,San Juan,Adsl,35868.0,2021-10-01
234,2021,4,San Luis,Adsl,8472.0,2021-10-01
235,2021,4,Santa Cruz,Adsl,10790.0,2021-10-01
236,2021,4,Santa Fe,Adsl,233427.0,2021-10-01
237,2021,4,Santiago Del Estero,Adsl,19032.0,2021-10-01
238,2021,4,Tierra Del Fuego,Adsl,13317.0,2021-10-01
239,2021,4,Tucumán,Adsl,97830.0,2021-10-01
240,2021,3, Buenos Aires ,Adsl,585729.0,2021-07-01
241,2021,3, Capital Federal ,Adsl,142902.0,2021-07-01
242,2021,3, Catamarca ,Adsl,18413.0,2021-07-01
243,2021,3, Chaco ,Adsl,38258.0,2021-07-01
244,2021,3, Chubut ,Adsl,49269.0,2021-07-01
245,2021,3, Córdoba ,Adsl,229275.0,2021-07-01
246,2021,3, Corrientes ,Adsl,44805.0,2021-07-01
247,2021,3, Entre Ríos ,Adsl,74443.0,2021-07-01
248,2021,3, Formosa ,Adsl,18093.0,2021-07-01
249,2021,3, Jujuy ,Adsl,23554.0,2021-07-01
250,2021,3, La Pampa ,Adsl,9015.0,2021-07-01
251,2021,3, La Rioja ,Adsl,11329.0,2021-07-01
252,2021,3, Mendoza ,Adsl,91474.0,2021-07-01
253,2021,3, Misiones ,Adsl,43230.0,2021-07-01
254,2021,3, Neuquén ,Adsl,29650.0,2021-07-01
255,2021,3, Río Negro ,Adsl,47934.0,2021-07-01
256,2021,3, Salta ,Adsl,49212.0,2021-07-01
257,2021,3, San Juan ,Adsl,40072.0,2021-07-01
258,2021,3, San Luis ,Adsl,8417.0,2021-07-01
259,2021,3, Santa Cruz ,Adsl,12347.0,2021-07-01
260,2021,3, Santa Fe ,Adsl,245929.0,2021-07-01
261,2021,3, Santiago Del Estero ,Adsl,19939.0,2021-07-01
262,2021,3, Tierra Del Fuego ,Adsl,12853.0,2021-07-01
263,2021,3, Tucumán ,Adsl,104489.0,2021-07-01
264,2021,2, Buenos Aires ,Adsl,603255.0,2021-04-01
265,2021,2, Capital Federal ,Adsl,148989.0,2021-04-01
266,2021,2, Catamarca ,Adsl,20305.0,2021-04-01
267,2021,2, Chaco ,Adsl,39826.0,2021-04-01
268,2021,2, Chubut ,Adsl,49271.0,2021-04-01
269,2021,2, Córdoba ,Adsl,239780.0,2021-04-01
270,2021,2, Corrientes ,Adsl,46648.0,2021-04-01
271,2021,2, Entre Ríos ,Adsl,77836.0,2021-04-01
272,2021,2, Formosa ,Adsl,19571.0,2021-04-01
273,2021,2, Jujuy ,Adsl,24738.0,2021-04-01
274,2021,2, La Pampa ,Adsl,9017.0,2021-04-01
275,2021,2, La Rioja ,Adsl,11627.0,2021-04-01
276,2021,2, Mendoza ,Adsl,91503.0,2021-04-01
277,2021,2, Misiones ,Adsl,44960.0,2021-04-01
278,2021,2, Neuquén ,Adsl,30083.0,2021-04-01
279,2021,2, Río Negro ,Adsl,48189.0,2021-04-01
280,2021,2, Salta ,Adsl,51396.0,2021-04-01
281,2021,2, San Juan ,Adsl,40072.0,2021-04-01
282,2021,2, San Luis ,Adsl,8417.0,2021-04-01
283,2021,2, Santa Cruz ,Adsl,12347.0,2021-04-01
284,2021,2, Santa Fe ,Adsl,256741.0,2021-04-01
285,2021,2, Santiago Del Estero ,Adsl,20734.0,2021-04-01
286,2021,2, Tierra Del Fuego ,Adsl,12853.0,2021-04-01
287,2021,2, Tucumán ,Adsl,110429.0,2021-04-01
288,2021,1, Buenos Aires ,Adsl,629679.0,2021-01-01
289,2021,1, Capital Federal ,Adsl,159805.0,2021-01-01
290,2021,1, Catamarca ,Adsl,26316.0,2021-01-01
291,2021,1, Chaco ,Adsl,43214.0,2021-01-01
292,2021,1, Chubut ,Adsl,45501.0,2021-01-01
293,2021,1, Córdoba ,Adsl,260350.0,2021-01-01
294,2021,1, Corrientes ,Adsl,49160.0,2021-01-01
295,2021,1, Entre Ríos ,Adsl,83688.0,2021-01-01
296,2021,1, Formosa ,Adsl,20663.0,2021-01-01
297,2021,1, Jujuy ,Adsl,32254.0,2021-01-01
298,2021,1, La Pampa ,Adsl,8946.0,2021-01-01
299,2021,1, La Rioja ,Adsl,17363.0,2021-01-01
300,2021,1, Mendoza ,Adsl,91844.0,2021-01-01
301,2021,1, Misiones ,Adsl,48292.0,2021-01-01
302,2021,1, Neuquén ,Adsl,30223.0,2021-01-01
303,2021,1, Río Negro ,Adsl,48777.0,2021-01-01
304,2021,1, Salta ,Adsl,54768.0,2021-01-01
305,2021,1, San Juan ,Adsl,40072.0,2021-01-01
306,2021,1, San Luis ,Adsl,8417.0,2021-01-01
307,2021,1, Santa Cruz ,Adsl,12347.0,2021-01-01
308,2021,1, Santa Fe ,Adsl,277012.0,2021-01-01
309,2021,1, Santiago Del Estero ,Adsl,26468.0,2021-01-01
310,2021,1, Tierra Del Fuego ,Adsl,12853.0,2021-01-01
311,2021,1, Tucumán ,Adsl,147199.0,2021-01-01
312,2020,4,Buenos Aires,Adsl,635651.0,2020-10-01
313,2020,4,Capital Federal,Adsl,163060.0,2020-10-01
314,2020,4,Catamarca,Adsl,26870.0,2020-10-01
315,2020,4,Chaco,Adsl,44332.0,2020-10-01
316,2020,4,Chubut,Adsl,45703.0,2020-10-01
317,2020,4,Córdoba,Adsl,267396.0,2020-10-01
318,2020,4,Corrientes,Adsl,50102.0,2020-10-01
319,2020,4,Entre Ríos,Adsl,85683.0,2020-10-01
320,2020,4,Formosa,Adsl,21264.0,2020-10-01
321,2020,4,Jujuy,Adsl,32850.0,2020-10-01
322,2020,4,La Pampa,Adsl,9009.0,2020-10-01
323,2020,4,La Rioja,Adsl,17513.0,2020-10-01
324,2020,4,Mendoza,Adsl,91842.0,2020-10-01
325,2020,4,Misiones,Adsl,49462.0,2020-10-01
326,2020,4,Neuquén,Adsl,30468.0,2020-10-01
327,2020,4,Río Negro,Adsl,48991.0,2020-10-01
328,2020,4,Salta,Adsl,56659.0,2020-10-01
329,2020,4,San Juan,Adsl,40072.0,2020-10-01
330,2020,4,San Luis,Adsl,8417.0,2020-10-01
331,2020,4,Santa Cruz,Adsl,12347.0,2020-10-01
332,2020,4,Santa Fe,Adsl,287271.0,2020-10-01
333,2020,4,Santiago Del Estero,Adsl,26812.0,2020-10-01
334,2020,4,Tierra Del Fuego,Adsl,12853.0,2020-10-01
335,2020,4,Tucumán,Adsl,149322.0,2020-10-01
336,2020,3,Buenos Aires,Adsl,653930.0,2020-07-01
337,2020,3,Capital Federal,Adsl,170375.0,2020-07-01
338,2020,3,Catamarca,Adsl,26868.0,2020-07-01
339,2020,3,Chaco,Adsl,45745.0,2020-07-01
340,2020,3,Chubut,Adsl,45761.0,2020-07-01
341,2020,3,Córdoba,Adsl,276360.0,2020-07-01
342,2020,3,Corrientes,Adsl,50858.0,2020-07-01
343,2020,3,Entre Ríos,Adsl,87892.0,2020-07-01
344,2020,3,Formosa,Adsl,21790.0,2020-07-01
345,2020,3,Jujuy,Adsl,32611.0,2020-07-01
346,2020,3,La Pampa,Adsl,9015.0,2020-07-01
347,2020,3,La Rioja,Adsl,17346.0,2020-07-01
348,2020,3,Mendoza,Adsl,91908.0,2020-07-01
349,2020,3,Misiones,Adsl,50195.0,2020-07-01
350,2020,3,Neuquén,Adsl,30222.0,2020-07-01
351,2020,3,Río Negro,Adsl,49530.0,2020-07-01
352,2020,3,Salta,Adsl,58216.0,2020-07-01
353,2020,3,San Juan,Adsl,40092.0,2020-07-01
354,2020,3,San Luis,Adsl,8401.0,2020-07-01
355,2020,3,Santa Cruz,Adsl,12845.0,2020-07-01
356,2020,3,Santa Fe,Adsl,295051.0,2020-07-01
357,2020,3,Santiago Del Estero,Adsl,26419.0,2020-07-01
358,2020,3,Tierra Del Fuego,Adsl,12854.0,2020-07-01
359,2020,3,Tucumán,Adsl,149605.0,2020-07-01
360,2020,2,Buenos Aires,Adsl,661272.0,2020-04-01
