,Provincia,Partido,Localidad,Link_Indec,Tecnologia,Accesos
0,Buenos Aires,25 De Mayo,25 De Mayo,6854100,Adsl,755.0
1,Buenos Aires,25 De Mayo,Del Valle,6854020,Adsl,181.0
2,Buenos Aires,25 De Mayo,Ernestina,6854030,Adsl,75.0
3,Buenos Aires,25 De Mayo,Pedernales,6854070,Adsl,154.0
4,Buenos Aires,9 De Julio,9 De Julio,6588100,Adsl,4241.0
5,Buenos Aires,9 De Julio,Alfredo Demarchi (Est. Facundo Quiroga),6588010,Adsl,450.0
6,Buenos Aires,9 De Julio,Manuel B. Gonnet (Est. French),6588060,Adsl,193.0
7,Buenos Aires,9 De Julio,Patricios,6588110,Adsl,81.0
8,Buenos Aires,Adolfo Alsina,Carhué,6007010,Adsl,766.0
9,Buenos Aires,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves (Est. Chaves),6014010,Adsl,464.0
10,Buenos Aires,Alberti,Alberti (Est. Andrés Vaccarezza),6021010,Adsl,335.0
11,Buenos Aires,Alberti,Mechita,6021030,Adsl,285.0
12,Buenos Aires,Almirante Brown,Adrogué,6028010,Adsl,86.0
13,Buenos Aires,Almirante Brown,Burzaco,6028010,Adsl,39.0
14,Buenos Aires,Almirante Brown,Claypole,6028010,Adsl,4.0
15,Buenos Aires,Almirante Brown,Glew,6028010,Adsl,11.0
16,Buenos Aires,Almirante Brown,Longchamps,6028010,Adsl,16.0
17,Buenos Aires,Almirante Brown,Malvinas Argentinas,6028010,Adsl,1.0
18,Buenos Aires,Almirante Brown,Ministro Rivadavia,6028010,Adsl,3.0
19,Buenos Aires,Almirante Brown,Rafael Calzada,6028010,Adsl,9.0
20,Buenos Aires,Almirante Brown,San Francisco Solano,6028010,Adsl,3.0
21,Buenos Aires,Almirante Brown,San Jose,6028010,Adsl,2.0
22,Buenos Aires,Arrecifes,Arrecifes,6077010,Adsl,773.0
23,Buenos Aires,Arrecifes,Viña,6077030,Adsl,50.0
24,Buenos Aires,Avellaneda,Avellaneda,6035010,Adsl,903.0
25,Buenos Aires,Avellaneda,Crucesita,6035010,Adsl,1.0
26,Buenos Aires,Avellaneda,Dock Sud,6035010,Adsl,11.0
27,Buenos Aires,Avellaneda,Gerli,6035010,Adsl,3.0
28,Buenos Aires,Avellaneda,Pineyro,6035010,Adsl,9.0
29,Buenos Aires,Avellaneda,Sarandí,6035010,Adsl,703.0
30,Buenos Aires,Avellaneda,Villa Domínico,6035010,Adsl,15.0
31,Buenos Aires,Avellaneda,Wilde,6035010,Adsl,329.0
32,Buenos Aires,Ayacucho,Ayacucho,6042010,Adsl,1834.0
33,Buenos Aires,Azul,Azul,6049020,Adsl,1692.0
34,Buenos Aires,Bahía Blanca,Bahía Blanca,6056010,Adsl,3774.0
35,Buenos Aires,Bahía Blanca,General Daniel Cerri (Est. General Cerri),6056030,Adsl,320.0
36,Buenos Aires,Balcarce,Balcarce,6063010,Adsl,1347.0
37,Buenos Aires,Baradero,Baradero,6070010,Adsl,1010.0
38,Buenos Aires,Baradero,Villa Alsina (Est. Alsina),6070040,Adsl,96.0
39,Buenos Aires,Benito Juárez,Benito Juárez (Est. Juárez),6084020,Adsl,650.0
40,Buenos Aires,Berazategui,Berazategui,6091010,Adsl,247.0
41,Buenos Aires,Berazategui,Berazategui Oeste,6091010,Adsl,16.0
42,Buenos Aires,Berazategui,Carlos Tomás Sourigues,6091010,Adsl,1.0
43,Buenos Aires,Berazategui,Centro Agrícola El Pato,6091010,Adsl,1348.0
44,Buenos Aires,Berazategui,Guillermo E. Hudson,6091010,Adsl,40.0
45,Buenos Aires,Berazategui,Juan María Gutierrez,6091010,Adsl,94.0
46,Buenos Aires,Berazategui,Ranelagh,6091010,Adsl,10.0
47,Buenos Aires,Berazategui,Villa España,6091010,Adsl,1.0
48,Buenos Aires,Berisso,Berisso,6098010,Adsl,3116.0
49,Buenos Aires,Bolívar,San Carlos De Bolívar (Est. Bolívar),6105060,Adsl,727.0
50,Buenos Aires,Bolívar,Hale,6105010,Adsl,10.0
51,Buenos Aires,Bragado,Bragado,6112010,Adsl,500.0
52,Buenos Aires,Bragado,General O'Brien,6112030,Adsl,321.0
53,Buenos Aires,Bragado,Mechita (Est. Mecha),6112070,Adsl,10.0
54,Buenos Aires,Bragado,Warnes,6112090,Adsl,135.0
55,Buenos Aires,Brandsen,Coronel Brandsen,6119050,Adsl,1250.0
56,Buenos Aires,Brandsen,Jeppener,6119070,Adsl,815.0
57,Buenos Aires,Campana,Campana,6126030,Adsl,808.0
58,Buenos Aires,Cañuelas,Alejandro Petión,6134010,Adsl,102.0
59,Buenos Aires,Cañuelas,Cañuelas,6134030,Adsl,909.0
60,Buenos Aires,Cañuelas,Uribelarrea,6134070,Adsl,63.0
61,Buenos Aires,Cañuelas,Vicente Casares,6134080,Adsl,175.0
62,Buenos Aires,Capitán Sarmiento,Capitán Sarmiento,6140010,Adsl,144.0
63,Buenos Aires,Carlos Casares,Carlos Casares,6147030,Adsl,1167.0
64,Buenos Aires,Carlos Tejedor,Carlos Tejedor,6154010,Adsl,12.0
65,Buenos Aires,Carmen De Areco,Carmen De Areco,6161010,Adsl,322.0
66,Buenos Aires,Castelli,Castelli,6168010,Adsl,52.0
67,Buenos Aires,Chacabuco,Chacabuco,6210020,Adsl,1334.0
68,Buenos Aires,Chacabuco,O'Higgins,6210040,Adsl,260.0
69,Buenos Aires,Chacabuco,Rawson,6210050,Adsl,59.0
70,Buenos Aires,Chascomús,Chascomús,6217010,Adsl,1847.0
71,Buenos Aires,Chascomús,Manuel J. Cobo (Est. Lezama),6217020,Adsl,98.0
72,Buenos Aires,Chivilcoy,Chivilcoy,6224010,Adsl,2031.0
