,Año,Trimestre,Provincia,Tipo_Acceso,Accesos,Fecha
0,2024,1,Buenos Aires,Banda_Ancha_Fija,0.0,2024-01-01
1,2024,1,Capital Federal,Banda_Ancha_Fija,0.0,2024-01-01
2,2024,1,Catamarca,Banda_Ancha_Fija,74.932,2024-01-01
3,2024,1,Chaco,Banda_Ancha_Fija,155.538,2024-01-01
4,2024,1,Chubut,Banda_Ancha_Fija,169.819,2024-01-01
5,2024,1,Córdoba,Banda_Ancha_Fija,0.0,2024-01-01
6,2024,1,Corrientes,Banda_Ancha_Fija,157.891,2024-01-01
7,2024,1,Entre Ríos,Banda_Ancha_Fija,296.532,2024-01-01
8,2024,1,Formosa,Banda_Ancha_Fija,62.718,2024-01-01
9,2024,1,Jujuy,Banda_Ancha_Fija,118.053,2024-01-01
10,2024,1,La Pampa,Banda_Ancha_Fija,122.033,2024-01-01
11,2024,1,La Rioja,Banda_Ancha_Fija,87.778,2024-01-01
12,2024,1,Mendoza,Banda_Ancha_Fija,301.867,2024-01-01
13,2024,1,Misiones,Banda_Ancha_Fija,202.556,2024-01-01
14,2024,1,Neuquén,Banda_Ancha_Fija,163.807,2024-01-01
15,2024,1,Río Negro,Banda_Ancha_Fija,170.504,2024-01-01
16,2024,1,Salta,Banda_Ancha_Fija,202.856,2024-01-01
17,2024,1,San Juan,Banda_Ancha_Fija,106.419,2024-01-01
18,2024,1,San Luis,Banda_Ancha_Fija,155.925,2024-01-01
19,2024,1,Santa Cruz,Banda_Ancha_Fija,80.021,2024-01-01
21,2024,1,Santiago Del Estero,Banda_Ancha_Fija,124.36,2024-01-01
22,2024,1,Tierra Del Fuego,Banda_Ancha_Fija,61.25,2024-01-01
23,2024,1,Tucumán,Banda_Ancha_Fija,264.568,2024-01-01
24,2023,4,Buenos Aires,Banda_Ancha_Fija,0.0,2023-10-01
25,2023,4,Capital Federal,Banda_Ancha_Fija,0.0,2023-10-01
26,2023,4,Catamarca,Banda_Ancha_Fija,74.586,2023-10-01
27,2023,4,Chaco,Banda_Ancha_Fija,147.381,2023-10-01
28,2023,4,Chubut,Banda_Ancha_Fija,169.313,2023-10-01
29,2023,4,Córdoba,Banda_Ancha_Fija,0.0,2023-10-01
