,Año,Trimestre,Ingresos,Fecha
0,2024,1,280419124.08,2024-01-01
1,2023,4,167376014.8,2023-10-01
2,2023,3,133106593.41,2023-07-01
3,2023,2,118060280.28,2023-04-01
4,2023,1,104134992.81,2023-01-01
5,2022,4,72443482.99,2022-10-01
6,2022,3,64086784.33,2022-07-01
7,2022,2,60419500.62,2022-04-01
8,2022,1,55219313.01,2022-01-01
9,2021,4,45467887.17,2021-10-01
10,2021,3,42999944.29,2021-07-01
11,2021,2,38239666.63,2021-04-01
12,2021,1,36676371.36,2021-01-01
13,2020,4,33539702.72,2020-10-01
14,2020,3,31997444.53,2020-07-01
15,2020,2,32102475.99,2020-04-01
16,2020,1,29946216.45,2020-01-01
17,2019,4,24169250.7,2019-10-01
18,2019,3,21652748.44,2019-07-01
19,2019,2,20743117.69,2019-04-01
20,2019,1,20207413.77,2019-01-01
21,2018,4,16637686.59,2018-10-01
22,2018,3,15410980.69,2018-07-01
23,2018,2,14319467.46,2018-04-01
24,2018,1,13171459.23,2018-01-01
25,2017,4,11226127.39,2017-10-01
26,2017,3,10065997.86,2017-07-01
27,2017,2,9678646.93,2017-04-01
28,2017,1,8701201.42,2017-01-01
29,2016,4,7483980.39,2016-10-01
30,2016,3,6912441.54,2016-07-01
31,2016,2,6534240.6,2016-04-01
32,2016,1,5936844.89,2016-01-01
33,2015,4,5376899.21,2015-10-01
34,2015,3,5153738.88,2015-07-01
35,2015,2,4701790.72,2015-04-01
36,2015,1,4876385.32,2015-01-01
37,2014,4,3950440.78,2014-10-01
38,2014,3,3478637.74,2014-07-01
39,2014,2,3270816.2,2014-04-01
40,2014,1,2984054.21,2014-01-01
