Provincia;Partido;Localidad
BUENOS AIRES;25 de Mayo;25 de Mayo
BUENOS AIRES;25 de Mayo;Agustín Mosconi
BUENOS AIRES;25 de Mayo;Del Valle
BUENOS AIRES;25 de Mayo;Ernestina
BUENOS AIRES;25 de Mayo;Gobernador Ugarte
BUENOS AIRES;25 de Mayo;Lucas Monteverde
BUENOS AIRES;25 de Mayo;Norberto de la Riestra
BUENOS AIRES;25 de Mayo;Pedernales
BUENOS AIRES;25 de Mayo;San Enrique
BUENOS AIRES;25 de Mayo;Valdés
BUENOS AIRES;9 de Julio;12 de Octubre
BUENOS AIRES;9 de Julio;9 de Julio
BUENOS AIRES;9 de Julio;Alfredo Demarchi  (Est. Facundo Quiroga)
BUENOS AIRES;9 de Julio;Dudignac
BUENOS AIRES;9 de Julio;Manuel B. Gonnet  (Est. French)
BUENOS AIRES;9 de Julio;Morea
BUENOS AIRES;9 de Julio;Patricios
BUENOS AIRES;9 de Julio;Villa General Fournier  (Est. 9 de Julio Sud)
BUENOS AIRES;Adolfo Alsina;Carhué
BUENOS AIRES;Adolfo Alsina;Colonia San Miguel Arcángel
BUENOS AIRES;Adolfo Alsina;Esteban Agustín Gascón
BUENOS AIRES;Adolfo Alsina;Maza
BUENOS AIRES;Adolfo Alsina;Rivera
BUENOS AIRES;Adolfo Gonzales Chaves;Adolfo Gonzales Chaves  (Est. Chaves)
BUENOS AIRES;Adolfo Gonzales Chaves;De la Garma
BUENOS AIRES;Adolfo Gonzales Chaves;Juan E. Barra
BUENOS AIRES;Adolfo Gonzales Chaves;Vásquez
BUENOS AIRES;Alberti;Alberti   (Est. Andrés Vaccarezza)
BUENOS AIRES;Alberti;Coronel Seguí
BUENOS AIRES;Alberti;Mechita
BUENOS AIRES;Alberti;Villa Ortiz  (Est. Coronel Mom)
BUENOS AIRES;Almirante Brown;Adrogué
BUENOS AIRES;Almirante Brown;Burzaco
BUENOS AIRES;Almirante Brown;Claypole
BUENOS AIRES;Almirante Brown;Don Orione
BUENOS AIRES;Almirante Brown;Glew
BUENOS AIRES;Almirante Brown;Jose Mármol
BUENOS AIRES;Almirante Brown;Longchamps
BUENOS AIRES;Almirante Brown;Malvinas Argentinas
BUENOS AIRES;Almirante Brown;Ministro Rivadavia
BUENOS AIRES;Almirante Brown;Rafael Calzada
BUENOS AIRES;Almirante Brown;San Francisco Solano
BUENOS AIRES;Almirante Brown;San Jose
BUENOS AIRES;AMBA;Otros
BUENOS AIRES;Arrecifes;Arrecifes
BUENOS AIRES;Arrecifes;Todd
BUENOS AIRES;Arrecifes;Viña
BUENOS AIRES;Avellaneda;Avellaneda
BUENOS AIRES;Avellaneda;Crucesita
BUENOS AIRES;Avellaneda;Dock Sud
BUENOS AIRES;Avellaneda;Gerli
BUENOS AIRES;Avellaneda;Pineyro
BUENOS AIRES;Avellaneda;Sarandí
BUENOS AIRES;Avellaneda;Villa Domínico
BUENOS AIRES;Avellaneda;Wilde
BUENOS AIRES;Ayacucho;Ayacucho
BUENOS AIRES;Ayacucho;La Constancia
BUENOS AIRES;Ayacucho;Solanet
BUENOS AIRES;Ayacucho;Udaquiola
BUENOS AIRES;Azul;Azul
BUENOS AIRES;Azul;Cacharí
BUENOS AIRES;Azul;Chillar
BUENOS AIRES;Bahía Blanca;Bahía Blanca
BUENOS AIRES;Bahía Blanca;Cabildo
BUENOS AIRES;Bahía Blanca;General Daniel Cerri  (Est. General Cerri)
BUENOS AIRES;Bahía Blanca;Ingeniero White
BUENOS AIRES;Balcarce;Balcarce
BUENOS AIRES;Balcarce;Los Pinos
BUENOS AIRES;Balcarce;Napaleofú
BUENOS AIRES;Balcarce;Ramos Otero
BUENOS AIRES;Balcarce;San Agustín
BUENOS AIRES;Balcarce;Villa Laguna La Brava
BUENOS AIRES;Baradero;Baradero
BUENOS AIRES;Baradero;Irineo Portela
BUENOS AIRES;Baradero;Santa Coloma
BUENOS AIRES;Baradero;Villa Alsina  (Est. Alsina)
BUENOS AIRES;Benito Juárez;Barker
BUENOS AIRES;Benito Juárez;Benito Juárez  (Est. Juárez)
BUENOS AIRES;Benito Juárez;López
BUENOS AIRES;Benito Juárez;Villa Cacique  (Est. Alfredo Fortabat)
BUENOS AIRES;Berazategui;Berazategui
BUENOS AIRES;Berazategui;Berazategui Oeste
BUENOS AIRES;Berazategui;Carlos Tomás Sourigues
BUENOS AIRES;Berazategui;Centro Agrícola El Pato
BUENOS AIRES;Berazategui;Guillermo E. Hudson
BUENOS AIRES;Berazategui;Juan María Gutierrez
BUENOS AIRES;Berazategui;Pereyra
BUENOS AIRES;Berazategui;Plátanos
BUENOS AIRES;Berazategui;Ranelagh
BUENOS AIRES;Berazategui;Villa España
BUENOS AIRES;Berisso;Barrio El Carmen (Este)
BUENOS AIRES;Berisso;Berisso
BUENOS AIRES;Berisso;Villa Arguello
BUENOS AIRES;Berisso;Villa Nueva
BUENOS AIRES;Berisso;Villa Progreso
BUENOS AIRES;Bolívar;Hale
BUENOS AIRES;Bolívar;Juan F. Ibarra
BUENOS AIRES;Bolívar;Otros
BUENOS AIRES;Bolívar;Pirovano
BUENOS AIRES;Bolívar;San Carlos de Bolívar  (Est. Bolívar)
BUENOS AIRES;Bolívar;Urdampilleta
BUENOS AIRES;Bragado;Bragado
BUENOS AIRES;Bragado;Comodoro Py
BUENOS AIRES;Bragado;General O'Brien
BUENOS AIRES;Bragado;Irala
BUENOS AIRES;Bragado;Mechita (Est. Mecha)
BUENOS AIRES;Bragado;Olascoaga
BUENOS AIRES;Bragado;Warnes
BUENOS AIRES;Brandsen;Coronel Brandsen
BUENOS AIRES;Brandsen;Jeppener
BUENOS AIRES;Campana;Alto Los Cardales
BUENOS AIRES;Campana;Barrio Los Pioneros
BUENOS AIRES;Campana;Campana
BUENOS AIRES;Campana;Chacras Del Río Luján
BUENOS AIRES;Campana;Lomas del Río Luján (Est. Río Luján)
BUENOS AIRES;Cañuelas;Alejandro Petión
BUENOS AIRES;Cañuelas;Barrio Belgrano-Máximo Paz
BUENOS AIRES;Cañuelas;Barrio El Taladro
BUENOS AIRES;Cañuelas;Cañuelas
BUENOS AIRES;Cañuelas;Gobernador Udaondo
BUENOS AIRES;Cañuelas;Máximo Paz
BUENOS AIRES;Cañuelas;Santa Rosa
BUENOS AIRES;Cañuelas;Uribelarrea
