,Año,Trimestre,Provincia,Accesos_Por_Cada_100_Hogares,Fecha
0,2024.0,1.0,Buenos Aires,81.1,2024-01-01
1,2024.0,1.0,Capital Federal,119.53,2024-01-01
2,2024.0,1.0,Catamarca,68.82,2024-01-01
3,2024.0,1.0,Chaco,46.7,2024-01-01
4,2024.0,1.0,Chubut,84.89,2024-01-01
5,2024.0,1.0,Córdoba,90.7,2024-01-01
6,2024.0,1.0,Corrientes,51.94,2024-01-01
7,2024.0,1.0,Entre Ríos,69.31,2024-01-01
8,2024.0,1.0,Formosa,39.61,2024-01-01
9,2024.0,1.0,Jujuy,57.65,2024-01-01
10,2024.0,1.0,La Pampa,100.49,2024-01-01
11,2024.0,1.0,La Rioja,80.03,2024-01-01
12,2024.0,1.0,Mendoza,52.59,2024-01-01
13,2024.0,1.0,Misiones,56.76,2024-01-01
14,2024.0,1.0,Neuquén,79.5,2024-01-01
15,2024.0,1.0,Río Negro,71.14,2024-01-01
16,2024.0,1.0,Salta,56.3,2024-01-01
17,2024.0,1.0,San Juan,51.62,2024-01-01
18,2024.0,1.0,San Luis,102.7,2024-01-01
19,2024.0,1.0,Santa Cruz,67.58,2024-01-01
20,2024.0,1.0,Santa Fe,80.4,2024-01-01
21,2024.0,1.0,Santiago Del Estero,49.41,2024-01-01
22,2024.0,1.0,Tierra Del Fuego,109.78,2024-01-01
23,2024.0,1.0,Tucumán,60.48,2024-01-01
24,2023.0,4.0,Buenos Aires,80.96,2023-10-01
25,2023.0,4.0,Capital Federal,117.02,2023-10-01
26,2023.0,4.0,Catamarca,68.63,2023-10-01
27,2023.0,4.0,Chaco,44.35,2023-10-01
28,2023.0,4.0,Chubut,84.96,2023-10-01
29,2023.0,4.0,Córdoba,90.67,2023-10-01
30,2023.0,4.0,Corrientes,52.56,2023-10-01
31,2023.0,4.0,Entre Ríos,69.94,2023-10-01
32,2023.0,4.0,Formosa,39.23,2023-10-01
33,2023.0,4.0,Jujuy,57.78,2023-10-01
34,2023.0,4.0,La Pampa,99.96,2023-10-01
