,Año,Trimestre,Provincia,Accesos_Por_Cada_100_Hab,Fecha
0,2024.0,1.0,Buenos Aires,27.8,2024-01-01
2,2024.0,1.0,Catamarca,17.5,2024-01-01
3,2024.0,1.0,Chaco,12.48,2024-01-01
4,2024.0,1.0,Chubut,26.02,2024-01-01
5,2024.0,1.0,Córdoba,27.77,2024-01-01
6,2024.0,1.0,Corrientes,13.68,2024-01-01
7,2024.0,1.0,Entre Ríos,20.72,2024-01-01
8,2024.0,1.0,Formosa,10.08,2024-01-01
9,2024.0,1.0,Jujuy,14.74,2024-01-01
10,2024.0,1.0,La Pampa,33.11,2024-01-01
11,2024.0,1.0,La Rioja,21.3,2024-01-01
12,2024.0,1.0,Mendoza,14.67,2024-01-01
13,2024.0,1.0,Misiones,15.46,2024-01-01
14,2024.0,1.0,Neuquén,23.66,2024-01-01
15,2024.0,1.0,Río Negro,21.88,2024-01-01
16,2024.0,1.0,Salta,13.63,2024-01-01
17,2024.0,1.0,San Juan,13.15,2024-01-01
18,2024.0,1.0,San Luis,29.39,2024-01-01
19,2024.0,1.0,Santa Cruz,20.1,2024-01-01
20,2024.0,1.0,Santa Fe,25.28,2024-01-01
21,2024.0,1.0,Santiago Del Estero,12.26,2024-01-01
22,2024.0,1.0,Tierra Del Fuego,32.54,2024-01-01
23,2024.0,1.0,Tucumán,14.98,2024-01-01
24,2023.0,4.0,Buenos Aires,27.68,2023-10-01
26,2023.0,4.0,Catamarca,17.46,2023-10-01
27,2023.0,4.0,Chaco,11.85,2023-10-01
28,2023.0,4.0,Chubut,26.04,2023-10-01
29,2023.0,4.0,Córdoba,27.76,2023-10-01
30,2023.0,4.0,Corrientes,13.84,2023-10-01
31,2023.0,4.0,Entre Ríos,20.91,2023-10-01
32,2023.0,4.0,Formosa,9.98,2023-10-01
33,2023.0,4.0,Jujuy,14.77,2023-10-01
34,2023.0,4.0,La Pampa,32.93,2023-10-01
35,2023.0,4.0,La Rioja,21.35,2023-10-01
36,2023.0,4.0,Mendoza,14.55,2023-10-01
37,2023.0,4.0,Misiones,15.33,2023-10-01
38,2023.0,4.0,Neuquén,23.78,2023-10-01
39,2023.0,4.0,Río Negro,21.61,2023-10-01
40,2023.0,4.0,Salta,13.8,2023-10-01
41,2023.0,4.0,San Juan,12.75,2023-10-01
42,2023.0,4.0,San Luis,29.21,2023-10-01
43,2023.0,4.0,Santa Cruz,21.94,2023-10-01
44,2023.0,4.0,Santa Fe,25.08,2023-10-01
45,2023.0,4.0,Santiago Del Estero,12.18,2023-10-01
46,2023.0,4.0,Tierra Del Fuego,32.75,2023-10-01
47,2023.0,4.0,Tucumán,15.12,2023-10-01
48,2023.0,3.0,Buenos Aires,27.5,2023-07-01
50,2023.0,3.0,Catamarca,17.44,2023-07-01
51,2023.0,3.0,Chaco,11.46,2023-07-01
52,2023.0,3.0,Chubut,25.82,2023-07-01
53,2023.0,3.0,Córdoba,27.57,2023-07-01
54,2023.0,3.0,Corrientes,13.9,2023-07-01
55,2023.0,3.0,Entre Ríos,20.58,2023-07-01
56,2023.0,3.0,Formosa,9.89,2023-07-01
57,2023.0,3.0,Jujuy,14.73,2023-07-01
58,2023.0,3.0,La Pampa,32.62,2023-07-01
59,2023.0,3.0,La Rioja,21.41,2023-07-01
60,2023.0,3.0,Mendoza,14.52,2023-07-01
61,2023.0,3.0,Misiones,15.12,2023-07-01
62,2023.0,3.0,Neuquén,23.8,2023-07-01
63,2023.0,3.0,Río Negro,21.04,2023-07-01
64,2023.0,3.0,Salta,13.94,2023-07-01
65,2023.0,3.0,San Juan,12.85,2023-07-01
66,2023.0,3.0,San Luis,28.2,2023-07-01
67,2023.0,3.0,Santa Cruz,12.17,2023-07-01
68,2023.0,3.0,Santa Fe,24.87,2023-07-01
69,2023.0,3.0,Santiago Del Estero,12.08,2023-07-01
70,2023.0,3.0,Tierra Del Fuego,31.41,2023-07-01
71,2023.0,3.0,Tucumán,15.17,2023-07-01
72,2023.0,2.0,Buenos Aires,27.1,2023-04-01
74,2023.0,2.0,Catamarca,17.15,2023-04-01
75,2023.0,2.0,Chaco,11.46,2023-04-01
76,2023.0,2.0,Chubut,25.28,2023-04-01
77,2023.0,2.0,Córdoba,27.59,2023-04-01
78,2023.0,2.0,Corrientes,13.79,2023-04-01
79,2023.0,2.0,Entre Ríos,19.26,2023-04-01
80,2023.0,2.0,Formosa,9.75,2023-04-01
81,2023.0,2.0,Jujuy,14.78,2023-04-01
82,2023.0,2.0,La Pampa,32.4,2023-04-01
83,2023.0,2.0,La Rioja,21.3,2023-04-01
84,2023.0,2.0,Mendoza,14.54,2023-04-01
85,2023.0,2.0,Misiones,15.03,2023-04-01
86,2023.0,2.0,Neuquén,23.5,2023-04-01
87,2023.0,2.0,Río Negro,21.09,2023-04-01
88,2023.0,2.0,Salta,13.92,2023-04-01
89,2023.0,2.0,San Juan,12.1,2023-04-01
90,2023.0,2.0,San Luis,26.73,2023-04-01
91,2023.0,2.0,Santa Cruz,12.39,2023-04-01
92,2023.0,2.0,Santa Fe,24.79,2023-04-01
93,2023.0,2.0,Santiago Del Estero,11.7,2023-04-01
94,2023.0,2.0,Tierra Del Fuego,31.54,2023-04-01
95,2023.0,2.0,Tucumán,15.05,2023-04-01
96,2023.0,1.0,Buenos Aires,26.81,2023-01-01
98,2023.0,1.0,Catamarca,16.83,2023-01-01
99,2023.0,1.0,Chaco,11.53,2023-01-01
100,2023.0,1.0,Chubut,26.32,2023-01-01
101,2023.0,1.0,Córdoba,27.2,2023-01-01
102,2023.0,1.0,Corrientes,13.71,2023-01-01
103,2023.0,1.0,Entre Ríos,19.37,2023-01-01
104,2023.0,1.0,Formosa,9.87,2023-01-01
105,2023.0,1.0,Jujuy,14.88,2023-01-01
106,2023.0,1.0,La Pampa,31.81,2023-01-01
107,2023.0,1.0,La Rioja,21.23,2023-01-01
108,2023.0,1.0,Mendoza,14.34,2023-01-01
109,2023.0,1.0,Misiones,14.7,2023-01-01
110,2023.0,1.0,Neuquén,23.38,2023-01-01
111,2023.0,1.0,Río Negro,21.27,2023-01-01
112,2023.0,1.0,Salta,13.97,2023-01-01
113,2023.0,1.0,San Juan,12.67,2023-01-01
114,2023.0,1.0,San Luis,25.8,2023-01-01
115,2023.0,1.0,Santa Cruz,12.92,2023-01-01
116,2023.0,1.0,Santa Fe,24.57,2023-01-01
117,2023.0,1.0,Santiago Del Estero,11.8,2023-01-01
118,2023.0,1.0,Tierra Del Fuego,30.9,2023-01-01
119,2023.0,1.0,Tucumán,14.95,2023-01-01
120,2022.0,4.0,Buenos Aires,26.72,2022-10-01
122,2022.0,4.0,Catamarca,16.73,2022-10-01
123,2022.0,4.0,Chaco,11.66,2022-10-01
124,2022.0,4.0,Chubut,26.23,2022-10-01
125,2022.0,4.0,Córdoba,27.26,2022-10-01
126,2022.0,4.0,Corrientes,13.6,2022-10-01
127,2022.0,4.0,Entre Ríos,19.14,2022-10-01
128,2022.0,4.0,Formosa,10.03,2022-10-01
129,2022.0,4.0,Jujuy,14.95,2022-10-01
130,2022.0,4.0,La Pampa,31.23,2022-10-01
131,2022.0,4.0,La Rioja,21.26,2022-10-01
132,2022.0,4.0,Mendoza,14.33,2022-10-01
133,2022.0,4.0,Misiones,14.39,2022-10-01
134,2022.0,4.0,Neuquén,23.41,2022-10-01
135,2022.0,4.0,Río Negro,21.04,2022-10-01
136,2022.0,4.0,Salta,14.04,2022-10-01
137,2022.0,4.0,San Juan,12.96,2022-10-01
138,2022.0,4.0,San Luis,25.83,2022-10-01
139,2022.0,4.0,Santa Cruz,12.95,2022-10-01
140,2022.0,4.0,Santa Fe,24.65,2022-10-01
