,Año,Trimestre,Provincia,Mbps_(Media_De_Bajada),Fecha
0,2024,1,Buenos Aires,159.13,
1,2024,1,Capital Federal,229.94,
2,2024,1,Catamarca,91.45,2024-01-01
3,2024,1,Chaco,107.51,2024-01-01
4,2024,1,Chubut,20.5,2024-01-01
5,2024,1,Córdoba,114.89,2024-01-01
6,2024,1,Corrientes,102.49,2024-01-01
7,2024,1,Entre Ríos,101.36,2024-01-01
8,2024,1,Formosa,83.8,2024-01-01
9,2024,1,Jujuy,47.52,2024-01-01
10,2024,1,La Pampa,26.55,2024-01-01
11,2024,1,La Rioja,63.71,2024-01-01
12,2024,1,Mendoza,51.85,2024-01-01
13,2024,1,Misiones,94.98,2024-01-01
14,2024,1,Neuquén,98.16,2024-01-01
15,2024,1,Río Negro,75.0,2024-01-01
16,2024,1,Salta,84.34,2024-01-01
17,2024,1,San Juan,30.58,2024-01-01
18,2024,1,San Luis,179.49,
19,2024,1,Santa Cruz,31.6,2024-01-01
20,2024,1,Santa Fe,100.2,2024-01-01
21,2024,1,Santiago Del Estero,44.9,2024-01-01
22,2024,1,Tierra Del Fuego,21.54,2024-01-01
23,2024,1,Tucumán,103.36,2024-01-01
24,2023,4,Buenos Aires,158.49,
25,2023,4,Capital Federal,234.44,
26,2023,4,Catamarca,89.4,2023-10-01
27,2023,4,Chaco,107.14,2023-10-01
28,2023,4,Chubut,20.29,2023-10-01
29,2023,4,Córdoba,114.03,2023-10-01
30,2023,4,Corrientes,100.9,2023-10-01
31,2023,4,Entre Ríos,101.18,2023-10-01
32,2023,4,Formosa,83.35,2023-10-01
33,2023,4,Jujuy,46.2,2023-10-01
34,2023,4,La Pampa,25.61,2023-10-01
35,2023,4,La Rioja,64.18,2023-10-01
36,2023,4,Mendoza,49.46,2023-10-01
37,2023,4,Misiones,93.65,2023-10-01
38,2023,4,Neuquén,99.63,2023-10-01
39,2023,4,Río Negro,74.37,2023-10-01
40,2023,4,Salta,83.04,2023-10-01
41,2023,4,San Juan,24.78,2023-10-01
42,2023,4,San Luis,174.59,
43,2023,4,Santa Cruz,36.77,2023-10-01
44,2023,4,Santa Fe,99.81,2023-10-01
45,2023,4,Santiago Del Estero,44.22,2023-10-01
46,2023,4,Tierra Del Fuego,17.92,2023-10-01
47,2023,4,Tucumán,101.55,2023-10-01
48,2023,3,Buenos Aires,146.84,
49,2023,3,Capital Federal,218.13,
50,2023,3,Catamarca,87.9,2023-07-01
51,2023,3,Chaco,107.5,2023-07-01
52,2023,3,Chubut,19.26,2023-07-01
53,2023,3,Córdoba,111.5,2023-07-01
54,2023,3,Corrientes,99.64,2023-07-01
55,2023,3,Entre Ríos,96.26,2023-07-01
56,2023,3,Formosa,80.29,2023-07-01
57,2023,3,Jujuy,44.55,2023-07-01
58,2023,3,La Pampa,24.21,2023-07-01
59,2023,3,La Rioja,63.84,2023-07-01
60,2023,3,Mendoza,46.96,2023-07-01
61,2023,3,Misiones,91.49,2023-07-01
62,2023,3,Neuquén,96.57,2023-07-01
63,2023,3,Río Negro,70.93,2023-07-01
64,2023,3,Salta,80.8,2023-07-01
65,2023,3,San Juan,24.45,2023-07-01
66,2023,3,San Luis,104.97,2023-07-01
67,2023,3,Santa Cruz,15.67,2023-07-01
68,2023,3,Santa Fe,97.39,2023-07-01
69,2023,3,Santiago Del Estero,41.46,2023-07-01
70,2023,3,Tierra Del Fuego,17.17,2023-07-01
71,2023,3,Tucumán,98.85,2023-07-01
72,2023,2,Buenos Aires,138.35,
73,2023,2,Capital Federal,208.01,
74,2023,2,Catamarca,86.13,2023-04-01
75,2023,2,Chaco,105.45,2023-04-01
76,2023,2,Chubut,18.58,2023-04-01
77,2023,2,Córdoba,111.82,2023-04-01
78,2023,2,Corrientes,97.21,2023-04-01
79,2023,2,Entre Ríos,89.37,2023-04-01
80,2023,2,Formosa,77.32,2023-04-01
81,2023,2,Jujuy,43.56,2023-04-01
82,2023,2,La Pampa,22.78,2023-04-01
83,2023,2,La Rioja,63.55,2023-04-01
84,2023,2,Mendoza,42.69,2023-04-01
85,2023,2,Misiones,90.55,2023-04-01
86,2023,2,Neuquén,93.97,2023-04-01
87,2023,2,Río Negro,70.76,2023-04-01
88,2023,2,Salta,79.1,2023-04-01
89,2023,2,San Juan,20.39,2023-04-01
90,2023,2,San Luis,103.84,2023-04-01
91,2023,2,Santa Cruz,15.48,2023-04-01
92,2023,2,Santa Fe,94.87,2023-04-01
93,2023,2,Santiago Del Estero,37.62,2023-04-01
94,2023,2,Tierra Del Fuego,16.92,2023-04-01
95,2023,2,Tucumán,96.69,2023-04-01
96,2023,1,Buenos Aires,116.18,2023-01-01
97,2023,1,Capital Federal,188.65,
98,2023,1,Catamarca,87.41,2023-01-01
