,Año,Trimestre,Mbps_(Media_De_Bajada)
0,2024,1,139.15
1,2023,4,139.04
2,2023,3,129.67
3,2023,2,123.95
4,2023,1,110.5
5,2022,4,106.56
6,2022,3,62.46
7,2022,2,58.44
8,2022,1,55.11
9,2021,4,52.34
10,2021,3,48.46
11,2021,2,45.63
12,2021,1,43.11
13,2020,4,42.36
14,2020,3,40.67
15,2020,2,38.32
16,2020,1,37.52
17,2019,4,28.26
18,2019,3,24.18
19,2019,2,20.33
20,2019,1,17.38
21,2018,4,15.95
22,2018,3,15.36
23,2018,2,13.85
24,2018,1,13.22
25,2017,4,12.01
26,2017,3,8.34
27,2017,2,7.16
28,2017,1,6.62
29,2016,4,6.34
30,2016,3,5.94
31,2016,2,5.42
32,2016,1,5.08
33,2015,4,4.99
34,2015,3,4.79
35,2015,2,4.55
36,2015,1,4.35
37,2014,4,4.16
38,2014,3,3.87
39,2014,2,3.76
40,2014,1,3.62
